alert_id,timestamp,machine_id,operator_id,task_id,alert_type,severity,source,message,recommended_action,resolved
AL000033,2025-01-08 13:38:00,M0035,OP0037,T00047,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL001243,2025-01-09 06:00:00,M0017,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 94m).",Consider pausing operations until conditions improve.,True
AL000629,2025-01-09 07:33:00,M0024,OP0039,T00432,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000630,2025-01-09 07:33:00,M0024,OP0039,T00432,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000283,2025-01-09 08:17:00,M0024,OP0039,T00432,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,False
AL000578,2025-01-09 08:54:00,M0002,OP0050,T00170,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL000284,2025-01-09 09:41:00,M0024,OP0039,T00432,PROXIMITY,MEDIUM,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,True
AL000512,2025-01-09 12:04:00,M0042,OP0034,T00829,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000513,2025-01-09 13:22:00,M0042,OP0034,T00829,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL001069,2025-01-09 16:47:54,M0024,OP0039,T00432,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL001292,2025-01-09 19:00:00,M0024,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 228m).",Consider pausing operations until conditions improve.,False
AL001206,2025-01-09 19:00:00,M0026,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 170m).",Consider pausing operations until conditions improve.,True
AL000933,2025-01-10 13:00:00,M0022,OP0020,,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000302,2025-01-10 14:37:00,M0013,OP0007,T00467,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000389,2025-01-11 08:23:00,M0007,OP0001,T00621,PROXIMITY,LOW,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,True
AL000954,2025-01-11 12:00:54,M0024,OP0030,T00058,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL000584,2025-01-11 13:30:00,M0003,OP0029,T00188,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000118,2025-01-11 14:13:00,M0003,OP0029,T00188,PROXIMITY,LOW,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,True
AL000119,2025-01-11 14:24:00,M0003,OP0029,T00188,PROXIMITY,LOW,safety_events,Site vehicle detected within unsafe operating distance.,Coordinate with vehicle operator and increase clearance.,False
AL000120,2025-01-11 15:58:00,M0003,OP0029,T00188,PROXIMITY,LOW,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,True
AL000678,2025-01-12 10:05:00,M0028,OP0049,T00693,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000679,2025-01-12 10:05:00,M0028,OP0049,T00693,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL000423,2025-01-12 10:43:00,M0028,OP0049,T00693,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL001293,2025-01-12 13:00:00,M0011,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 234m).",Consider pausing operations until conditions improve.,True
AL000794,2025-01-12 14:00:00,M0035,OP0020,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000888,2025-01-12 15:00:00,M0014,OP0045,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL001145,2025-01-12 16:11:00,M0028,OP0049,T00693,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL001272,2025-01-12 19:00:00,M0036,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 273m).",Consider pausing operations until conditions improve.,True
AL001084,2025-01-13 02:08:18,M0010,OP0033,T00490,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL001250,2025-01-13 06:00:00,M0030,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 79m).",Consider pausing operations until conditions improve.,False
AL000632,2025-01-13 11:35:00,M0035,OP0050,T00451,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL001201,2025-01-13 13:00:00,M0042,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 104m).",Consider pausing operations until conditions improve.,True
AL000478,2025-01-13 15:50:00,M0031,OP0039,T00781,SEATBELT,HIGH,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000702,2025-01-14 07:14:00,M0031,OP0050,T00824,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL000733,2025-01-14 09:00:00,M0009,OP0009,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL001179,2025-01-14 09:49:30,M0031,OP0050,T00824,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000044,2025-01-14 11:16:00,M0006,OP0029,T00056,PROXIMITY,MEDIUM,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,True
AL001226,2025-01-14 13:00:00,M0035,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 259m).",Consider pausing operations until conditions improve.,False
AL000627,2025-01-14 15:26:00,M0003,OP0001,T00430,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL001068,2025-01-14 21:04:36,M0003,OP0001,T00430,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000661,2025-01-15 07:10:00,M0018,OP0008,T00600,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000377,2025-01-15 09:23:00,M0018,OP0008,T00600,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000378,2025-01-15 10:32:00,M0018,OP0008,T00600,PROXIMITY,LOW,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,True
AL001161,2025-01-15 13:05:12,M0042,OP0024,T00749,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL001117,2025-01-15 15:31:30,M0018,OP0008,T00600,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL000806,2025-01-16 14:00:00,M0024,OP0046,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000675,2025-01-17 11:54:00,M0003,OP0046,T00683,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL000674,2025-01-17 11:54:00,M0003,OP0046,T00683,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000418,2025-01-17 13:32:00,M0003,OP0046,T00683,SEATBELT,HIGH,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000291,2025-01-17 15:05:00,M0007,OP0021,T00448,PROXIMITY,MEDIUM,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,True
AL001073,2025-01-17 20:57:18,M0007,OP0021,T00448,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000706,2025-01-18 10:03:00,M0031,OP0025,T00841,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000707,2025-01-18 10:03:00,M0031,OP0025,T00841,UNUSUAL_BEHAVIOR,HIGH,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL000517,2025-01-18 11:16:00,M0031,OP0025,T00841,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,False
AL000518,2025-01-18 12:51:00,M0031,OP0025,T00841,PROXIMITY,MEDIUM,safety_events,Site vehicle detected within unsafe operating distance.,Coordinate with vehicle operator and increase clearance.,True
AL000519,2025-01-18 13:05:00,M0031,OP0025,T00841,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,False
AL000662,2025-01-18 13:07:00,M0029,OP0012,T00605,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000663,2025-01-18 13:07:00,M0029,OP0012,T00605,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL000380,2025-01-18 13:45:00,M0029,OP0012,T00605,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000106,2025-01-18 16:07:00,M0016,OP0039,T00168,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000107,2025-01-18 16:58:00,M0016,OP0039,T00168,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL001120,2025-01-18 19:43:18,M0029,OP0012,T00605,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000114,2025-01-19 07:59:00,M0035,OP0021,T00181,PROXIMITY,LOW,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,True
AL000115,2025-01-19 08:35:00,M0035,OP0021,T00181,PROXIMITY,MEDIUM,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,True
AL000844,2025-01-19 09:00:00,M0024,OP0025,,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000931,2025-01-19 09:00:00,M0015,OP0008,,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL001171,2025-01-19 09:35:18,M0018,OP0051,T00798,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL001305,2025-01-19 13:00:00,M0033,,,ENVIRONMENTAL_RISK,HIGH,environment,"Hazardous environmental conditions (storm, visibility 315m).",Consider pausing operations until conditions improve.,False
AL001065,2025-01-19 15:25:30,M0025,OP0035,T00420,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000819,2025-01-20 08:00:00,M0026,OP0016,,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000818,2025-01-20 08:00:00,M0026,OP0016,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000601,2025-01-20 09:53:00,M0007,OP0028,T00314,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000379,2025-01-20 10:58:00,M0025,OP0050,T00603,PROXIMITY,LOW,safety_events,Unsafe reversing maneuver detected.,Reinforce spotter protocol for reversing operations.,True
AL000554,2025-01-20 11:01:00,M0017,OP0038,T00074,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL001119,2025-01-20 13:39:06,M0025,OP0050,T00603,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL001034,2025-01-20 14:15:42,M0007,OP0028,T00314,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000082,2025-01-20 16:19:00,M0004,OP0034,T00139,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000264,2025-01-20 16:49:00,M0030,OP0007,T00390,PROXIMITY,MEDIUM,safety_events,Unsafe reversing maneuver detected.,Reinforce spotter protocol for reversing operations.,True
AL000083,2025-01-20 18:11:00,M0004,OP0034,T00139,PROXIMITY,HIGH,safety_events,Site vehicle detected within unsafe operating distance.,Coordinate with vehicle operator and increase clearance.,True
AL000977,2025-01-20 18:29:30,M0004,OP0034,T00139,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000265,2025-01-20 18:32:00,M0030,OP0007,T00390,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL001284,2025-01-20 19:00:00,M0032,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 126m).",Consider pausing operations until conditions improve.,False
AL001301,2025-01-20 19:00:00,M0023,,,ENVIRONMENTAL_RISK,HIGH,environment,"Hazardous environmental conditions (storm, visibility 269m).",Consider pausing operations until conditions improve.,True
AL000593,2025-01-21 14:02:00,M0021,OP0022,T00252,UNUSUAL_BEHAVIOR,HIGH,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL000561,2025-01-21 14:04:00,M0029,OP0021,T00095,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000161,2025-01-21 15:34:00,M0021,OP0022,T00252,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,False
AL000162,2025-01-21 16:16:00,M0021,OP0022,T00252,PROXIMITY,LOW,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,True
AL000965,2025-01-21 17:06:42,M0029,OP0021,T00095,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL000163,2025-01-21 17:08:00,M0021,OP0022,T00252,PROXIMITY,HIGH,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,True
AL000559,2025-01-22 07:46:00,M0017,OP0015,T00091,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000558,2025-01-22 07:46:00,M0017,OP0015,T00091,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000059,2025-01-22 09:33:00,M0017,OP0015,T00091,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,False
AL000060,2025-01-22 10:08:00,M0017,OP0015,T00091,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000962,2025-01-22 10:24:06,M0017,OP0015,T00091,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000147,2025-01-22 13:14:00,M0013,OP0048,T00232,SEATBELT,HIGH,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000148,2025-01-22 13:48:00,M0013,OP0048,T00232,PROXIMITY,LOW,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,True
AL000149,2025-01-22 14:06:00,M0013,OP0048,T00232,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL001059,2025-01-23 11:32:48,M0009,OP0052,T00395,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL000187,2025-01-23 11:51:00,M0021,OP0025,T00292,PROXIMITY,LOW,safety_events,Site vehicle detected within unsafe operating distance.,Coordinate with vehicle operator and increase clearance.,False
AL001025,2025-01-23 15:48:18,M0021,OP0025,T00292,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000127,2025-01-25 08:49:00,M0018,OP0054,T00198,PROXIMITY,LOW,safety_events,Unsafe reversing maneuver detected.,Reinforce spotter protocol for reversing operations.,True
AL000889,2025-01-25 09:00:00,M0008,OP0046,,UNUSUAL_BEHAVIOR,HIGH,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000128,2025-01-25 09:07:00,M0018,OP0054,T00198,PROXIMITY,MEDIUM,safety_events,Site vehicle detected within unsafe operating distance.,Coordinate with vehicle operator and increase clearance.,True
AL000732,2025-01-25 14:00:00,M0041,OP0008,,UNUSUAL_BEHAVIOR,HIGH,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL001150,2025-01-25 15:01:24,M0029,OP0039,T00704,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL000903,2025-01-26 08:00:00,M0018,OP0009,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000912,2025-01-27 09:00:00,M0002,OP0052,,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000490,2025-01-27 12:46:00,M0027,OP0044,T00804,PROXIMITY,LOW,safety_events,Site vehicle detected within unsafe operating distance.,Coordinate with vehicle operator and increase clearance.,True
AL000056,2025-01-28 14:26:00,M0014,OP0013,T00085,PROXIMITY,LOW,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,True
AL000057,2025-01-28 14:33:00,M0014,OP0013,T00085,UNUSUAL_BEHAVIOR,LOW,safety_events,Harsh braking event detected.,Review braking technique with operator.,True
AL000960,2025-01-28 21:10:42,M0014,OP0013,T00085,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000829,2025-01-29 10:00:00,M0001,OP0009,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000729,2025-01-29 14:00:00,M0002,OP0041,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL001287,2025-01-29 19:00:00,M0021,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 42m).",Consider pausing operations until conditions improve.,True
AL000895,2025-01-30 14:00:00,M0003,OP0041,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000667,2025-01-30 14:57:00,M0040,OP0046,T00637,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000009,2025-01-30 15:36:00,M0008,OP0016,T00014,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000400,2025-01-30 15:38:00,M0040,OP0046,T00637,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000011,2025-01-30 16:38:00,M0038,OP0022,T00023,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,False
AL001128,2025-01-30 16:42:06,M0040,OP0046,T00637,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000012,2025-01-30 18:13:00,M0038,OP0022,T00023,UNUSUAL_BEHAVIOR,LOW,safety_events,Harsh braking event detected.,Review braking technique with operator.,True
AL000013,2025-01-30 19:08:00,M0038,OP0022,T00023,PROXIMITY,LOW,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,True
AL000014,2025-01-30 19:24:00,M0038,OP0022,T00023,PROXIMITY,LOW,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,True
AL000015,2025-01-30 19:44:00,M0038,OP0022,T00023,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000213,2025-01-31 08:43:00,M0017,OP0016,T00321,PROXIMITY,LOW,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,True
AL000214,2025-01-31 10:30:00,M0017,OP0016,T00321,PROXIMITY,LOW,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,True
AL000434,2025-01-31 11:06:00,M0013,OP0020,T00720,PROXIMITY,MEDIUM,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,True
AL000435,2025-01-31 12:28:00,M0013,OP0020,T00720,PROXIMITY,LOW,safety_events,Unsafe reversing maneuver detected.,Reinforce spotter protocol for reversing operations.,True
AL001154,2025-01-31 12:47:36,M0013,OP0020,T00720,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
